Date,Price,Open,High,Low,Vol,Change%
11-05-2011,146.5399933,147.2400055,147.3500061,145.7700043,21378300,-0.92
12-05-2011,146.5899963,145.8800049,147.1199951,144.9600067,18730400,0.03
13-05-2011,145.6300049,146.7200012,147.2799988,144.4900055,17268700,-0.65
16-05-2011,145.3699951,145.8800049,146.6699982,145.1900024,10066800,-0.18
17-05-2011,144.7400055,144.2299957,144.7799988,143.4199982,17192100,-0.43
18-05-2011,145.6000061,145.5500031,146.2200012,145.1399994,10502900,0.59
19-05-2011,145.6499939,145.1199951,145.8500061,144.8600006,8098100,0.03
20-05-2011,147.4900055,145.8200073,147.7799988,144.8999939,23187900,1.26
23-05-2011,147.8300018,147.0399933,147.9499969,146.9700012,15937600,0.23
24-05-2011,148.5899963,148.4799957,149.0500031,148.1799927,14948000,0.51
25-05-2011,148.5800018,148.7200012,149.3699951,148.5200043,10973800,-0.01
26-05-2011,148.2200012,148.4499969,148.6100006,147.5899963,9785500,-0.24
27-05-2011,149.6999969,149.0200043,149.9199982,148.9600067,10186200,1
31-05-2011,149.6399994,149.8800049,150.1600037,149.4100037,10499300,-0.04
